0,0.017963,0.115691
3,0.018089,0.116877
6,0.018217,0.119281
9,0.019281,0.133139
12,0.018573,0.123235
15,0.019681,0.136938
18,0.019969,0.141057
21,0.018829,0.126350
24,0.018111,0.116910
27,0.023327,0.189641
30,0.020589,0.150301
33,0.021089,0.157584
36,0.020569,0.149727
39,0.024261,0.209696
42,0.021356,0.161759
0,0.017714,0.111392
3,0.017694,0.111995
6,0.018210,0.117754
9,0.019756,0.139383
12,0.018817,0.126756
15,0.018938,0.127848
18,0.020739,0.153482
21,0.022054,0.168458
24,0.019374,0.134131
27,0.024315,0.212460
30,0.020883,0.154747
33,0.025015,0.220320
36,0.022282,0.176825
39,0.026411,0.247677
42,0.024966,0.224499
0,0.018133,0.116940
3,0.018016,0.115773
6,0.018826,0.126293
9,0.018374,0.120513
12,0.018586,0.123229
15,0.019684,0.137625
18,0.020218,0.144986
21,0.020585,0.151396
24,0.018710,0.124356
27,0.022277,0.176573
30,0.020606,0.151103
33,0.018947,0.128699
36,0.020695,0.152008
39,0.019751,0.137527
42,0.020142,0.143332
0,0.017901,0.114102
3,0.020276,0.143232
6,0.018056,0.116856
9,0.021919,0.169458
12,0.022574,0.180369
15,0.018351,0.120278
18,0.019305,0.133810
21,0.020468,0.147950
24,0.019979,0.141917
27,0.022099,0.175963
30,0.022351,0.173807
33,0.020401,0.147554
36,0.020453,0.149065
39,0.025635,0.231679
42,0.020795,0.151779
0,0.017808,0.112713
3,0.017570,0.109511
6,0.019514,0.135264
9,0.019221,0.132175
12,0.019334,0.133222
15,0.019446,0.133349
18,0.019393,0.133287
21,0.021234,0.159302
24,0.020747,0.151755
27,0.024671,0.216553
30,0.021246,0.158403
33,0.023429,0.196362
36,0.025198,0.223497
39,0.026111,0.242633
42,0.022089,0.172672
0,0.018482,0.120684
3,0.017925,0.113594
6,0.018726,0.125522
9,0.018193,0.118906
12,0.018923,0.126308
15,0.019252,0.131302
18,0.021375,0.161214
21,0.020583,0.149324
24,0.019555,0.136133
27,0.019789,0.138643
30,0.020318,0.148176
33,0.019393,0.132565
36,0.022060,0.171245
39,0.020582,0.151034
42,0.021403,0.162582
0,0.018778,0.124580
3,0.018076,0.117679
6,0.017923,0.115490
9,0.019305,0.133333
12,0.020776,0.153647
15,0.019312,0.132714
18,0.020994,0.155107
21,0.018995,0.129964
24,0.021080,0.157839
27,0.021337,0.165715
30,0.019777,0.139576
33,0.020816,0.152502
36,0.020510,0.151402
39,0.020987,0.157479
42,0.033785,0.405427
0,0.017896,0.114141
3,0.018216,0.118490
6,0.018751,0.124761
9,0.019567,0.136765
12,0.020996,0.155381
15,0.020756,0.151490
18,0.019116,0.130366
21,0.018613,0.124253
24,0.020770,0.153650
27,0.020827,0.154170
30,0.020261,0.147065
33,0.020636,0.150900
36,0.034980,0.429523
39,0.022951,0.187691
42,0.020577,0.150438
0,0.017795,0.112534
3,0.018060,0.115313
6,0.019506,0.133831
9,0.018539,0.122281
12,0.018257,0.117585
15,0.019356,0.133294
18,0.019617,0.136914
21,0.020553,0.149975
24,0.018943,0.127928
27,0.021456,0.167350
30,0.021013,0.159033
33,0.023840,0.201424
36,0.024137,0.208126
39,0.019875,0.139959
42,0.022001,0.170387
0,0.018877,0.127041
3,0.018260,0.119126
6,0.018170,0.117084
9,0.018189,0.117703
12,0.019331,0.132134
15,0.019206,0.131904
18,0.019247,0.130270
21,0.018749,0.125913
24,0.019084,0.128498
27,0.028913,0.295596
30,0.021169,0.159244
33,0.024053,0.207696
36,0.023441,0.194364
39,0.021643,0.166457
42,0.022033,0.171474
0,0.018849,0.124773
3,0.018548,0.122784
6,0.020059,0.142041
9,0.018409,0.119485
12,0.018992,0.126908
15,0.018917,0.128133
18,0.019462,0.134224
21,0.022449,0.178440
24,0.020629,0.151638
27,0.021622,0.165115
30,0.021189,0.159379
33,0.022333,0.177420
36,0.021755,0.166828
39,0.019834,0.139530
42,0.020982,0.158188
0,0.018500,0.121543
3,0.017919,0.114563
6,0.018784,0.125103
9,0.018635,0.122846
12,0.018710,0.124445
15,0.018316,0.121524
18,0.022085,0.174194
21,0.019829,0.138813
24,0.019631,0.137255
27,0.023852,0.200672
30,0.022831,0.186649
33,0.021252,0.159201
36,0.021436,0.165912
39,0.021119,0.159823
42,0.019491,0.135010
0,0.017885,0.113699
3,0.018284,0.119451
6,0.018448,0.121532
9,0.018314,0.119151
12,0.018545,0.121841
15,0.018363,0.119038
18,0.019770,0.137772
21,0.019188,0.131630
24,0.021627,0.166339
27,0.021243,0.161896
30,0.021928,0.171303
33,0.020434,0.148511
36,0.021784,0.170228
39,0.022149,0.176295
42,0.020291,0.146731
0,0.018216,0.117680
3,0.017884,0.113156
6,0.018829,0.126803
9,0.018999,0.130496
12,0.020232,0.145055
15,0.019041,0.129015
18,0.019386,0.134408
21,0.020198,0.145237
24,0.023808,0.198830
27,0.018725,0.124979
30,0.019880,0.141094
33,0.020391,0.146805
36,0.021964,0.173691
39,0.021112,0.158326
42,0.025757,0.235725
0,0.018453,0.120874
3,0.018549,0.121850
6,0.019184,0.129987
9,0.018086,0.116620
12,0.018941,0.128062
15,0.019037,0.129849
18,0.019641,0.135734
21,0.019453,0.135513
24,0.021051,0.156967
